FlightID,BookingID,Airline,FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime
FLT00153,BKG00153,Turkish Airlns,TK 723,IST,KTM,8/9/23 18:00,8/10/23 6:00
FLT00154,BKG00154,Emirates,EK 243,LAX,DXB,3/13/25 21:00,3/14/25 19:00
FLT00155,BKG00155,IndiGo,6E 526,DEL,KTM,11/1/24 7:00,11/1/24 8:40
FLT00156,BKG00156,China Eastrn,CE 566,PEK,KTM,7/5/23 15:00,7/6/23 2:00
FLT00157,BKG00157,Thai Air,THA 785,BKK,KTM,9/22/25 20:00,9/23/25 0:20
FLT00158,BKG00158,Air France,AF 233,CDG,KTM,10/19/24 11:00,10/20/24 1:00
FLT00159,BKG00159,Emirates,EK 244,DXB,LAX,4/11/23 23:00,4/12/23 8:20
FLT00160,BKG00160,United Air,UA 1006,LHR,JFK,2/28/25 13:00,2/28/25 16:40
FLT00161,BKG00161,Air Asia,AA 236,SIN,KTM,12/13/24 8:00,12/13/24 10:40
FLT00162,BKG00162,Qatar Airwyas,QR 916,DOH,KTM,9/7/23 4:00,9/7/23 14:00
FLT00163,BKG00163,Turkish Airlns,TK 724,IST,KTM,6/3/25 17:00,6/4/25 5:30
FLT00164,BKG00164,Emirates,EK 245,LAX,DXB,1/22/24 21:00,1/23/24 19:00
FLT00165,BKG00165,IndiGo,6E 527,DEL,KTM,10/29/23 6:00,10/29/23 7:40
FLT00166,BKG00166,China Eastrn,CE 567,PEK,KTM,5/17/25 15:00,5/18/25 2:00
FLT00167,BKG00167,Thai Air,THA 786,BKK,KTM,3/8/24 20:00,3/9/24 0:20
FLT00168,BKG00168,Air France,AF 234,CDG,KTM,11/26/23 11:00,11/27/23 1:00
FLT00169,BKG00169,Emirates,EK 246,DXB,LAX,7/14/25 23:00,7/15/25 8:20
FLT00170,BKG00170,United Air,UA 1007,LHR,JFK,2/3/24 14:00,2/3/24 17:10
FLT00171,BKG00171,Air Asia,AA 237,SIN,KTM,12/19/23 9:00,12/19/23 11:40
FLT00172,BKG00172,Qatar Airwyas,QR 917,DOH,KTM,9/5/25 3:00,9/5/25 13:00
FLT00173,BKG00173,Turkish Airlns,TK 725,IST,KTM,4/14/24 18:00,4/15/24 6:00
FLT00174,BKG00174,Emirates,EK 247,DXB,LAX,6/9/23 23:00,6/10/23 8:20
FLT00175,BKG00175,IndiGo,6E 528,DEL,KTM,11/11/25 6:00,11/11/25 7:40
FLT00176,BKG00176,China Eastrn,CE 568,PEK,KTM,8/3/24 15:00,8/4/24 2:00
FLT00177,BKG00177,Thai Air,THA 787,BKK,KTM,5/27/23 20:00,5/28/23 0:20
FLT00178,BKG00178,Air France,AF 235,CDG,KTM,10/21/25 11:00,10/22/25 1:00
FLT00179,BKG00179,Emirates,EK 248,DXB,LAX,1/9/24 23:00,1/10/24 8:20
FLT00180,BKG00180,United Air,UA 1008,LHR,JFK,9/23/23 14:00,9/23/23 17:10
FLT00181,BKG00181,Air Asia,AA 238,SIN,KTM,8/12/25 9:00,8/12/25 11:40
FLT00182,BKG00182,Qatar Airwyas,QR 918,DOH,KTM,7/15/24 3:00,7/15/24 13:00
FLT00183,BKG00183,Turkish Airlns,TK 726,IST,KTM,3/11/23 18:00,3/12/23 6:00
FLT00184,BKG00184,Emirates,EK 249,LAX,DXB,6/28/25 21:00,6/29/25 19:00
FLT00185,BKG00185,IndiGo,6E 529,DEL,KTM,10/3/24 7:00,10/3/24 8:40
FLT00186,BKG00186,China Eastrn,CE 569,PEK,KTM,12/9/23 16:00,12/10/23 2:00
FLT00187,BKG00187,Thai Air,THA 788,BKK,KTM,4/14/25 20:00,4/15/25 0:20
FLT00188,BKG00188,Air France,AF 236,CDG,KTM,2/27/24 10:00,2/28/24 1:00
FLT00189,BKG00189,Emirates,EK 250,DXB,LAX,11/18/23 23:00,11/19/23 8:20
FLT00190,BKG00190,United Air,UA 1009,LHR,JFK,5/9/25 14:00,5/9/25 17:10
FLT00191,BKG00191,Air Asia,AA 239,SIN,KTM,6/1/24 9:00,6/1/24 11:40
FLT00192,BKG00192,Qatar Airwyas,QR 919,DOH,KTM,8/14/23 4:00,8/14/23 14:00
FLT00193,BKG00193,Turkish Airlns,TK 727,IST,KTM,3/19/25 18:00,3/20/25 6:00
FLT00194,BKG00194,Emirates,EK 251,LAX,DXB,1/11/24 21:00,1/12/24 19:00
FLT00195,BKG00195,IndiGo,6E 530,DEL,KTM,10/7/23 6:00,10/7/23 7:40
FLT00196,BKG00196,China Eastrn,CE 570,PEK,KTM,7/25/25 15:00,7/26/25 2:00
FLT00197,BKG00197,Thai Air,THA 789,BKK,KTM,5/14/24 20:00,5/15/24 0:20
FLT00198,BKG00198,Air France,AF 237,CDG,KTM,9/3/23 11:00,9/4/23 1:00
FLT00199,BKG00199,Emirates,EK 252,DXB,LAX,2/18/25 23:00,2/19/25 8:20
FLT00200,BKG00200,United Air,UA 1010,LHR,JFK,4/21/24 14:00,4/21/24 17:10
