BookingID,UserID,TripType,Destination,DepartureDate,ReturnDate,BookingStatus
BKG00130,USR00130,one-way,London,7/19/25,7/27/25,cnfmd
BKG00131,USR00131,roundtrip,Tokyo,1/14/24,1/25/24,Cancelled
BKG00132,USR00132,one-way,Delhi,8/3/23,8/10/23,CONF
BKG00133,USR00133,roundtrip,Paris,10/11/25,10/19/25,pendng
BKG00134,USR00134,one-way,London,12/5/24,12/12/24,cncl
BKG00135,USR00135,roundtrip,Tokyo,11/9/23,11/18/23,CONF
BKG00136,USR00136,one-way,Delhi,6/22/25,6/29/25,PEND
BKG00137,USR00137,roundtrip,Paris,2/14/24,2/21/24,CONFIRMED
BKG00138,USR00138,one-way,London,10/3/23,10/11/23,cnfmd
BKG00139,USR00139,roundtrip,Tokyo,9/17/25,9/26/25,Cancelled
BKG00140,USR00140,one-way,Delhi,3/29/24,4/6/24,CONF
BKG00141,USR00141,roundtrip,Paris,5/12/23,5/20/23,pendng
BKG00142,USR00142,one-way,London,8/8/25,8/15/25,cncl
BKG00143,USR00143,roundtrip,Tokyo,7/19/24,7/28/24,CONF
BKG00144,USR00144,one-way,Delhi,9/14/23,9/21/23,PEND
BKG00145,USR00145,roundtrip,Paris,11/3/25,11/12/25,CONFIRMED
BKG00146,USR00146,one-way,London,1/27/24,2/4/24,cnfmd
BKG00147,USR00147,roundtrip,Tokyo,6/11/23,6/20/23,Cancelled
BKG00148,USR00148,one-way,Delhi,10/9/25,10/18/25,CONF
BKG00149,USR00149,roundtrip,Paris,5/23/24,5/31/24,pendng
BKG00150,USR00150,one-way,London,12/14/23,12/22/23,cncl
BKG00151,USR00151,roundtrip,Tokyo,4/6/25,4/15/25,CONF
BKG00152,USR00152,one-way,Delhi,6/17/24,6/25/24,PEND
BKG00153,USR00153,roundtrip,Paris,8/9/23,8/17/23,CONFIRMED
BKG00154,USR00154,one-way,London,3/13/25,3/21/25,cnfmd
BKG00155,USR00155,roundtrip,Tokyo,11/1/24,11/10/24,Cancelled
BKG00156,USR00156,one-way,Delhi,7/5/23,7/13/23,CONF
BKG00157,USR00157,roundtrip,Paris,9/22/25,9/30/25,pendng
BKG00158,USR00158,one-way,London,10/19/24,10/27/24,cncl
BKG00159,USR00159,roundtrip,Tokyo,4/11/23,4/20/23,CONF
BKG00160,USR00160,one-way,Delhi,2/28/25,3/7/25,PEND
BKG00161,USR00161,roundtrip,Paris,12/13/24,12/21/24,CONFIRMED
BKG00162,USR00162,one-way,London,9/7/23,9/15/23,cnfmd
BKG00163,USR00163,roundtrip,Tokyo,6/3/25,6/12/25,Cancelled
BKG00164,USR00164,one-way,Delhi,1/22/24,1/30/24,CONF
BKG00165,USR00165,roundtrip,Paris,10/29/23,11/6/23,pendng
BKG00166,USR00166,one-way,London,5/17/25,5/25/25,cncl
BKG00167,USR00167,roundtrip,Tokyo,3/8/24,3/17/24,CONF
BKG00168,USR00168,one-way,Delhi,11/26/23,12/4/23,PEND
BKG00169,USR00169,roundtrip,Paris,7/14/25,7/22/25,CONFIRMED
BKG00170,USR00170,one-way,London,2/3/24,2/11/24,cnfmd
BKG00171,USR00171,roundtrip,Tokyo,12/19/23,12/28/23,Cancelled
BKG00172,USR00172,one-way,Delhi,9/5/25,9/13/25,CONF
BKG00173,USR00173,roundtrip,Paris,4/14/24,4/22/24,pendng
BKG00174,USR00174,one-way,London,6/9/23,6/17/23,cncl
BKG00175,USR00175,roundtrip,Tokyo,11/11/25,11/20/25,CONF
BKG00176,USR00176,one-way,Delhi,8/3/24,8/11/24,PEND
BKG00177,USR00177,roundtrip,Paris,5/27/23,6/4/23,CONFIRMED
BKG00178,USR00178,one-way,London,10/21/25,10/29/25,cnfmd
BKG00179,USR00179,roundtrip,Tokyo,1/9/24,1/18/24,Cancelled
BKG00180,USR00180,one-way,Delhi,9/23/23,10/1/23,CONF
BKG00181,USR00181,roundtrip,Paris,8/12/25,8/20/25,pendng
BKG00182,USR00182,one-way,London,7/15/24,7/23/24,cncl
BKG00183,USR00183,roundtrip,Tokyo,3/11/23,3/20/23,CONF
BKG00184,USR00184,one-way,Delhi,6/28/25,7/6/25,PEND
BKG00185,USR00185,roundtrip,Paris,10/3/24,10/11/24,CONFIRMED
BKG00186,USR00186,one-way,London,12/9/23,12/17/23,cnfmd
BKG00187,USR00187,roundtrip,Tokyo,4/14/25,4/23/25,Cancelled
BKG00188,USR00188,one-way,Delhi,2/27/24,3/6/24,CONF
BKG00189,USR00189,roundtrip,Paris,11/18/23,11/26/23,pendng
BKG00190,USR00190,one-way,London,5/9/25,5/17/25,cncl
BKG00191,USR00191,roundtrip,Tokyo,6/1/24,6/10/24,CONF
BKG00192,USR00192,one-way,Delhi,8/14/23,8/22/23,PEND
BKG00193,USR00193,roundtrip,Paris,3/19/25,3/27/25,CONFIRMED
BKG00194,USR00194,one-way,London,1/11/24,1/19/24,cnfmd
BKG00195,USR00195,roundtrip,Tokyo,10/7/23,10/16/23,Cancelled
BKG00196,USR00196,one-way,Delhi,7/25/25,8/2/25,CONF
BKG00197,USR00197,roundtrip,Paris,5/14/24,5/22/24,pendng
BKG00198,USR00198,one-way,London,9/3/23,9/11/23,cncl
BKG00199,USR00199,roundtrip,Tokyo,2/18/25,2/27/25,CONF
BKG00200,USR00200,one-way,Delhi,4/21/24,4/29/24,PEND
