HotelID,BookingID,HotelName,RoomType,CheckInDate,CheckOutDate,,
HTL00191,BKG00191,Hotel Mystic Mountain,Single,6/1/24,6/10/24,,
HTL00192,BKG00192,Hotel Annapurna,Suite,8/14/23,8/22/23,,
HTL00193,BKG00193,Barahi Resort,Deluxe,3/19/25,3/27/25,,
HTL00194,BKG00194,Kasara Resort,Single,1/11/24,1/19/24,,
HTL00195,BKG00195,Hotel Yak & Yeti,Suite,10/7/23,10/16/23,,
HTL00196,BKG00196,Hotel Mystic Mountain,Deluxe,7/25/25,8/2/25,,
HTL00197,BKG00197,Temple Tree Resort,Suite,5/14/24,5/22/24,,
HTL00198,BKG00198,Kasara Resort,Single,9/3/23,9/11/23,,
HTL00199,BKG00199,Hotel Annapurna,Deluxe,2/18/25,2/27/25,,
HTL00200,BKG00200,Barahi Resort,Suite,4/21/24,4/29/24,,
