PaymentID,BookingID,Amount,Currency,PaymentMethod,PaymentStatus,Timestamp,
PAY00043,BKG00043,850.4,usd,bank tranfer,pendng,6/17/24 18:05,
PAY00044,BKG00044,999,USD,paypal,PAID,8/7/24 21:05,
PAY00045,BKG00045,450.25,$,CASH,pendng,9/9/23 5:35,
PAY00046,BKG00046,300,usd,creditcard,PAID,12/20/23 16:05,
PAY00047,BKG00047,150.99,Usd,bank transfer,FAIL,10/16/24 20:05,
PAY00048,BKG00048,780,usd,paypal,PAID,8/17/24 9:05,
PAY00049,BKG00049,999.99,USD,crdit card,pendng,1/10/25 23:05,
PAY00050,BKG00050,450,$,bank tranfer,PAID,2/16/24 14:05,
PAY00051,BKG00051,1200.5,usd,paypal,FAILED,10/8/25 7:05,
PAY00052,BKG00052,300.75,Usd,credit card,PAID,8/15/25 3:05,
PAY00053,BKG00053,850.4,usd,bank transfer,pendng,5/15/23 18:05,
PAY00054,BKG00054,999,USD,paypal,PAID,12/12/25 22:05,
PAY00055,BKG00055,450.25,$,crdit card,pendng,9/14/23 6:35,
PAY00056,BKG00056,300,usd,CASH,PAID,8/12/25 15:05,
PAY00057,BKG00057,150.99,Usd,bank tranfer,FAIL,1/8/24 21:05,
PAY00058,BKG00058,780,usd,paypal,PAID,10/26/25 11:05,
PAY00059,BKG00059,999.99,USD,creditcard,pendng,11/27/25 23:05,
PAY00060,BKG00060,450,$,bank transfer,PAID,11/28/23 13:05,
PAY00061,BKG00061,1200.5,usd,paypal,FAILED,11/28/25 9:05,
PAY00062,BKG00062,300.75,Usd,crdit card,PAID,2/7/24 4:05,
PAY00063,BKG00063,850.4,usd,bank tranfer,pendng,9/12/24 17:05,
PAY00064,BKG00064,999,USD,paypal,PAID,11/12/23 22:05,
PAY00065,BKG00065,450.25,$,CASH,pendng,2/28/23 6:35,
PAY00066,BKG00066,300,usd,creditcard,PAID,3/7/24 15:05,
PAY00067,BKG00067,150.99,Usd,bank transfer,FAIL,10/16/25 20:05,
PAY00068,BKG00068,780,usd,paypal,PAID,9/16/25 12:05,
PAY00069,BKG00069,999.99,USD,crdit card,pendng,7/17/25 23:05,
PAY00070,BKG00070,450,$,bank tranfer,PAID,6/19/25 14:05,
PAY00071,BKG00071,1200.5,usd,paypal,FAILED,2/22/24 8:05,
PAY00072,BKG00072,300.75,Usd,crdit card,PAID,10/15/24 3:05,
PAY00073,BKG00073,850.4,usd,bank transfer,pendng,9/25/23 18:05,
PAY00074,BKG00074,999,USD,paypal,PAID,10/15/24 21:05,
PAY00075,BKG00075,450.25,$,CASH,pendng,7/1/24 7:05,
PAY00076,BKG00076,300,usd,creditcard,PAID,7/18/23 13:05,
PAY00077,BKG00077,150.99,Usd,bank tranfer,FAIL,5/6/25 22:05,
PAY00078,BKG00078,780,usd,paypal,PAID,10/2/24 11:05,
PAY00079,BKG00079,999.99,USD,credit card,pendng,11/20/25 23:05,
PAY00080,BKG00080,450,$,bank transfer,PAID,10/15/25 14:05,
PAY00081,BKG00081,1200.5,usd,paypal,FAILED,11/1/25 9:05,
PAY00082,BKG00082,300.75,Usd,crdit card,PAID,12/23/24 3:05,
PAY00083,BKG00083,850.4,usd,bank tranfer,pendng,10/10/25 18:05,
PAY00084,BKG00084,999,USD,paypal,PAID,1/17/23 22:05,
PAY00085,BKG00085,450.25,$,CASH,pendng,10/2/23 6:35,
PAY00086,BKG00086,300,usd,creditcard,PAID,1/19/25 16:05,
PAY00087,BKG00087,150.99,Usd,bank transfer,FAIL,2/3/24 21:05,
PAY00088,BKG00088,780,usd,paypal,PAID,3/2/25 10:05,
PAY00089,BKG00089,999.99,USD,crdit card,pendng,9/1/23 23:05,
PAY00090,BKG00090,450,$,bank tranfer,PAID,2/3/25 14:05,
PAY00091,BKG00091,1200.5,usd,paypal,FAILED,10/23/23 8:05,
PAY00092,BKG00092,300.75,Usd,crdit card,PAID,4/3/23 4:05,
PAY00093,BKG00093,850.4,usd,bank transfer,pendng,8/28/25 18:05,
PAY00094,BKG00094,999,USD,paypal,PAID,11/21/25 23:05,
PAY00095,BKG00095,450.25,$,CASH,pendng,11/29/23 7:05,
PAY00096,BKG00096,300,usd,creditcard,PAID,11/4/25 16:05,
PAY00097,BKG00097,150.99,Usd,bank transfer,FAIL,8/30/25 22:05,
PAY00098,BKG00098,780,usd,paypal,PAID,11/9/24 10:05,
PAY00099,BKG00099,999.99,USD,crdit card,pendng,9/22/24 23:05,
PAY00100,BKG00100,450,$,bank tranfer,PAID,6/27/24 14:05,
PAY00101,BKG00101,1200.5,usd,paypal,PAID,9/10/25 9:10,
PAY00102,BKG00102,300.75,Usd,crdit card,pendng,5/11/24 3:10,
PAY00103,BKG00103,850.4,usd,bank tranfer,FAIL,2/8/23 18:10,
PAY00104,BKG00104,999,USD,paypal,PAID,11/7/23 21:10,
PAY00105,BKG00105,450.25,$,CASH,pendng,10/24/25 6:10,
PAY00106,BKG00106,300,usd,creditcard,PAID,10/10/23 15:10,
PAY00107,BKG00107,150.99,Usd,bank transfer,FAIL,9/6/25 20:10,
PAY00108,BKG00108,780,usd,paypal,PAID,12/21/23 11:10,
PAY00109,BKG00109,999.99,USD,crdit card,pendng,6/25/24 23:10,
PAY00110,BKG00110,450,$,bank tranfer,PAID,5/19/24 14:10,
PAY00111,BKG00111,1200.5,usd,paypal,FAILED,9/1/24 8:10,
PAY00112,BKG00112,300.75,Usd,crdit card,PAID,9/28/25 3:10,
PAY00113,BKG00113,850.4,usd,bank transfer,pendng,7/14/24 18:10,
PAY00114,BKG00114,999,USD,paypal,PAID,3/19/25 21:10,
PAY00115,BKG00115,450.25,$,CASH,pendng,8/17/24 7:10,
PAY00116,BKG00116,300,usd,creditcard,PAID,1/5/25 16:10,
PAY00117,BKG00117,150.99,Usd,bank tranfer,FAIL,3/11/24 20:10,
PAY00118,BKG00118,780,usd,paypal,PAID,7/22/23 10:10,
PAY00119,BKG00119,999.99,USD,crdit card,pendng,6/14/25 23:10,
PAY00120,BKG00120,450,$,bank transfer,PAID,11/3/24 13:10,
PAY00121,BKG00121,1200.5,usd,paypal,FAILED,12/1/23 9:10,
PAY00122,BKG00122,300.75,Usd,crdit card,PAID,4/17/25 4:10,
PAY00123,BKG00123,850.4,usd,bank transfer,pendng,10/5/24 17:10,
PAY00124,BKG00124,999,USD,paypal,PAID,6/19/23 22:10,
PAY00125,BKG00125,450.25,$,CASH,pendng,2/14/25 6:10,
PAY00126,BKG00126,300,usd,creditcard,PAID,9/11/24 15:10,
PAY00127,BKG00127,150.99,Usd,bank tranfer,FAIL,8/1/25 21:10,
PAY00128,BKG00128,780,usd,paypal,PAID,4/9/24 12:10,
PAY00129,BKG00129,999.99,USD,crdit card,pendng,3/27/23 23:10,
PAY00130,BKG00130,450,$,bank transfer,PAID,7/19/25 14:10,
PAY00131,BKG00131,1200.5,usd,paypal,FAILED,1/14/24 9:10,
PAY00132,BKG00132,300.75,Usd,crdit card,PAID,8/3/23 3:10,
PAY00133,BKG00133,850.4,usd,bank transfer,pendng,10/11/25 18:10,
PAY00134,BKG00134,999,USD,paypal,PAID,12/5/24 21:10,
PAY00135,BKG00135,450.25,$,CASH,pendng,11/9/23 7:10,
PAY00136,BKG00136,300,usd,creditcard,PAID,6/22/25 16:10,
PAY00137,BKG00137,150.99,Usd,bank tranfer,FAIL,2/14/24 20:10,
PAY00138,BKG00138,780,usd,paypal,PAID,10/3/23 11:10,
PAY00139,BKG00139,999.99,USD,crdit card,pendng,9/17/25 23:10,
PAY00140,BKG00140,450,$,bank transfer,PAID,3/29/24 13:10,
PAY00141,BKG00141,1200.5,usd,paypal,FAILED,5/12/23 8:10,
PAY00142,BKG00142,300.75,Usd,crdit card,PAID,8/8/25 4:10,
PAY00143,BKG00143,850.4,usd,bank transfer,pendng,7/19/24 18:10,
PAY00144,BKG00144,999,USD,paypal,PAID,9/14/23 21:10,
PAY00145,BKG00145,450.25,$,CASH,pendng,11/3/25 7:10,
PAY00146,BKG00146,300,usd,creditcard,PAID,1/27/24 16:10,
PAY00147,BKG00147,150.99,Usd,bank tranfer,FAIL,6/11/23 20:10,
PAY00148,BKG00148,780,usd,paypal,PAID,10/9/25 11:10,
PAY00149,BKG00149,999.99,USD,crdit card,pendng,5/23/24 23:10,
PAY00150,BKG00150,450,$,bank transfer,PAID,12/14/23 14:10,
PAY00151,BKG00151,1200.5,usd,paypal,FAILED,4/6/25 9:10,
PAY00152,BKG00152,300.75,Usd,crdit card,PAID,6/17/24 3:10,
PAY00153,BKG00153,850.4,usd,bank transfer,pendng,8/9/23 18:10,
PAY00154,BKG00154,999,USD,paypal,PAID,3/13/25 21:10,
PAY00155,BKG00155,450.25,$,CASH,pendng,11/1/24 7:10,
PAY00156,BKG00156,300,usd,creditcard,PAID,7/5/23 15:10,
PAY00157,BKG00157,150.99,Usd,bank tranfer,FAIL,9/22/25 20:10,
PAY00158,BKG00158,780,usd,paypal,PAID,10/19/24 11:10,
PAY00159,BKG00159,999.99,USD,crdit card,pendng,4/11/23 23:10,
PAY00160,BKG00160,450,$,bank transfer,PAID,2/28/25 13:10,
PAY00161,BKG00161,1200.5,usd,paypal,FAILED,12/13/24 8:10,
PAY00162,BKG00162,300.75,Usd,crdit card,PAID,9/7/23 4:10,
PAY00163,BKG00163,850.4,usd,bank transfer,pendng,6/3/25 17:10,
PAY00164,BKG00164,999,USD,paypal,PAID,1/22/24 21:10,
PAY00165,BKG00165,450.25,$,CASH,pendng,10/29/23 6:10,
PAY00166,BKG00166,300,usd,creditcard,PAID,5/17/25 15:10,
PAY00167,BKG00167,150.99,Usd,bank tranfer,FAIL,3/8/24 20:10,
PAY00168,BKG00168,780,usd,paypal,PAID,11/26/23 11:10,
PAY00169,BKG00169,999.99,USD,crdit card,pendng,7/14/25 23:10,
PAY00170,BKG00170,450,$,bank transfer,PAID,2/3/24 14:10,
PAY00171,BKG00171,1200.5,usd,paypal,FAILED,12/19/23 9:10,
PAY00172,BKG00172,300.75,Usd,crdit card,PAID,9/5/25 3:10,
PAY00173,BKG00173,850.4,usd,bank transfer,pendng,4/14/24 18:10,
PAY00174,BKG00174,999,USD,paypal,PAID,6/9/23 23:10,
PAY00175,BKG00175,450.25,$,CASH,pendng,11/11/25 6:10,
PAY00176,BKG00176,300,usd,creditcard,PAID,8/3/24 15:10,
PAY00177,BKG00177,150.99,Usd,bank tranfer,FAIL,5/27/23 20:10,
PAY00178,BKG00178,780,usd,paypal,PAID,10/21/25 11:10,
PAY00179,BKG00179,999.99,USD,crdit card,pendng,1/9/24 23:10,
PAY00180,BKG00180,450,$,bank transfer,PAID,9/23/23 14:10,
PAY00181,BKG00181,1200.5,usd,paypal,FAILED,8/12/25 9:10,
PAY00182,BKG00182,300.75,Usd,crdit card,PAID,7/15/24 3:10,
PAY00183,BKG00183,850.4,usd,bank transfer,pendng,3/11/23 18:10,
PAY00184,BKG00184,999,USD,paypal,PAID,6/28/25 21:10,
PAY00185,BKG00185,450.25,$,CASH,pendng,10/3/24 7:10,
PAY00186,BKG00186,300,usd,creditcard,PAID,12/9/23 16:10,
PAY00187,BKG00187,150.99,Usd,bank tranfer,FAIL,4/14/25 20:10,
PAY00188,BKG00188,780,usd,paypal,PAID,2/27/24 10:10,
PAY00189,BKG00189,999.99,USD,crdit card,pendng,11/18/23 23:10,
PAY00190,BKG00190,450,$,bank transfer,PAID,5/9/25 14:10,
PAY00191,BKG00191,1200.5,usd,paypal,FAILED,6/1/24 9:10,
PAY00192,BKG00192,300.75,Usd,crdit card,PAID,8/14/23 4:10,
PAY00193,BKG00193,850.4,usd,bank transfer,pendng,3/19/25 18:10,
PAY00194,BKG00194,999,USD,paypal,PAID,1/11/24 21:10,
PAY00195,BKG00195,450.25,$,CASH,pendng,10/7/23 6:10,
PAY00196,BKG00196,300,usd,creditcard,PAID,7/25/25 15:10,
PAY00197,BKG00197,150.99,Usd,bank tranfer,FAIL,5/14/24 20:10,
PAY00198,BKG00198,780,usd,paypal,PAID,9/3/23 11:10,
PAY00199,BKG00199,999.99,USD,crdit card,pendng,2/18/25 23:10,
PAY00200,BKG00200,450,$,bank transfer,PAID,4/21/24 14:10,
